id,nombre,desc
FORMPHY9,"Abbreviated or Full Physical Measures","Abbreviated or Full Physical Measures"
FORMINT9,"Abbreviated, mailed or regular interview","Which version of the interview was administered:"
ABBLEED9,"Abnormal vaginal bleeding since last visit","Since your last study visit, have you had any of the following conditions? Abnormal vaginal bleeding (bleeding from the vagina that is different enough from your normal pattern to be a concern: irregular, heavy, or long in duration)?"
ACTIPAN9,"Active this week","Indicate in the space next to each item how strongly you have experienced these feelings this past week: Active"
ACUPUNC9,"Acupuncture","During the past 12 months, have you used any of the following for your health? Acupuncture"
ACUPGEN9,"Acupuncture - General Health","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: For general health?"
ACUPHAR9,"Acupuncture - Heart","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: To reduce the risk of heart disease?"
ACUPMEM9,"Acupuncture - Improve Memory","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: To improve memory?"
ACUPMEN9,"Acupuncture - Menopausal symptoms","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: To relieve menopausal symptoms?"
ACUPOST9,"Acupuncture - Osteoporosis","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: To reduce the risk of osteoporosis?"
ACUPOTH9,"Acupuncture - Other reason","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: Is there any other reason you use acupuncture?"
ACUPSPE9,"Acupuncture - Other specify","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: Is there any other reason you use acupuncture? Specify"
ACUPADV9,"Acupuncture - Provider advice","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: On advice from health care provider?"
ACUPPER9,"Acupuncture - Regulate Periods","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: To regulate periods?"
ACUPWGH9,"Acupuncture - Weight","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: To lose weight or to stay the same weight?"
ACUPLOO9,"Acupuncture - Young Looking","If YES to ACUPUNC9: Please tell me whether or not you use acupuncture: To stay young-looking?"
PREGNAN9,"Additional Measures Collected: Currently Pregnant","If YES to BLDDRAW9: Are you currently pregnant?"
FLGHRMV9,"Additional Measures: Completed after V9 cutoff (01/31/2007)","Completed after V9 cutoff (01/31/2007)"
ADD1XWK9,"Additional foods eaten once per week","Additional foods eaten 1x wk"
AFRAPAN9,"Afraid this week","Indicate in the space next to each item how strongly you have experienced these feelings this past week: Afraid"
AGE19,"Age (1)","Please tell me their age"
AGE109,"Age (10)","Please tell me their age"
AGE119,"Age (11)","Please tell me their age"
AGE129,"Age (12)","Please tell me their age"
AGE29,"Age (2)","Please tell me their age"
AGE39,"Age (3)","Please tell me their age"
AGE49,"Age (4)","Please tell me their age"
AGE59,"Age (5)","Please tell me their age"
AGE69,"Age (6)","Please tell me their age"
AGE79,"Age (7)","Please tell me their age"
AGE89,"Age (8)","Please tell me their age"
AGE99,"Age (9)","Please tell me their age"
AGE9,"Age At Current Visit (Integer)","Visit 9 Age"
ALCHL249,"Alcohol in Last 24 hours","If YES to BLDDRAW9: Have you had any alcohol in the last 24 hours?"
ALERPAN9,"Alert this week","Indicate in the space next to each item how strongly you have experienced these feelings this past week: Alert"
LEKAMNT9,"Amount leaked","How much urine do you lose when you leak?"
ANEMIA9,"Anemia since last visit","Since your last study visit, has a doctor, nurse practitioner or other health care provider told you that you had any of the following conditions or treated you for them? Anemia?"
ANGINA9,"Angina since last visit","Since your last study visit, has a doctor, nurse practitioner or other health care provider told you that you had any of the following conditions or treated you for them? Angina?"
PRGNAN9,"Annual Follow-Up: Currently Pregnant","Are you currently pregnant?"
ANTICO19,"Anticoagulant #1","Since your last study visit, have you taken: Any medication, pills or other medicine to thin your blood (anticoagulants)?"
ACOATW19,"Anticoagulant #1 taken 2 times/week for the last month","If YES to ANTICO19: Have you been taking it at least two times per week for the last month?"
ANTICO29,"Anticoagulant #2","Since your last study visit, have you taken: Any medication, pills or other medicine to thin your blood (anticoagulants)?"
ACOATW29,"Anticoagulant #2 taken 2 times/week for the last month","If YES to ANTICO29: Have you been taking it at least two times per week for the last month?"
VTMSING9,"Any other single vitamins","If YES to REGVITA9: Since your last study visit, what vitamins and minerals have you taken fairly regularly, at least once per week? Single Vitamins or minerals, not part of multi-vitamins, how often do you take: Any other single vitamins or minerals?"
HOUSEHL9,"Anyone living in your household","Other than yourself, is there anyone living in your household?"
ARTHRT19,"Arthritis medication #1","Since your last study visit, have you taken: Prescribed medications for arthritis?"
ARTHTW19,"Arthritis medication #1 taken 2 times/week for the last month","If YES to ARTHRT19: Have you been taking it at least two times per week for the last month?"
ARTHRT29,"Arthritis medication #2","Since your last study visit, have you taken: Prescribed medications for arthritis?"
